id,col,surf,morph,size.x,size.y,size.z,weight,batch.id
SC-TB-0284,Red,other,PL08,11.8,2.7,3.3,11,7
SC-TB-0189,Blue,fragment,PL24,1.6,1,0.1,0.2,6
CR-PC-0049,White,other,GIII,17,26.5,2,5.9,1
SC-TB-0434,White,fragment,PL24,2.2,2,0.1,0.3,8
SC-TB-0194,White,fragment,PL24,2.4,1.7,0.1,0.5,6
SC-TB-0324,White,fragment,PL24,2.1,3.4,0.2,0.9,7
SC-TB-0358,Blue,fragment,PL24,1.3,2.6,0.1,0.3,7
SC-TB-0374,Blue,fragment,PL24,1.7,1.4,0.2,0.2,7
SC-TB-0329,White,fragment,PL24,5.3,8.7,2.1,6.7,7
SC-TB-0236,Blue,piece,PL24,4.3,1.6,0.1,0.5,6
SC-TB-0229,Blue,fragment,PL24,2.7,1.3,0.2,0.4,6
SC-TB-0024,White,fragment,PL24,1.1,1.4,0.1,0.2,1
IS-DV-0018,White,other,CR,8.5,8,4,37.5,1
SC-TB-0108,Green,fragment,PL24,2.2,0.4,0.2,0.1,4
SC-TB-0071,Green,piece,PL24,1.4,1.1,0.1,0.1,2
SC-TB-0091,Yellow,fragment,PL24,1.5,0.4,0.3,0.1,3
CR-PC-0068,Red,piece,EI,1.6,1.3,0.4,0.4,1
SC-TB-0049,White,other,PL04,9,0.5,0.3,0.6,2
SC-TB-0102,Green,fragment,PL24,1.1,0.5,0.2,0.1,3
SC-TB-0297,White,fragment,PL24,5,0.7,0.2,0.6,7
SC-TB-0022,White,fragment,PL24,1.1,1,0.1,0.2,1
CR-PC-0035,Blue,rope,GII,19.7,0.4,0.4,0.6,1
IS-DV-0017,Blue,fragment,SA,4.3,3.9,0.2,1.4,1
SC-TB-0320,White,fragment,PL24,3.5,3.1,0.1,1.1,7
SC-TB-0137,White,other,PL04,8.5,0.3,0.3,0.5,6
SC-TB-0318,White,fragment,PL24,2.4,1.3,0.2,0.4,7
IS-DV-0045,White,other,IA,8.7,7,1.5,25.1,1
SC-TB-0430,White,fragment,PL24,3,2.7,0.2,0.1,8
CR-PC-0042,Blue,rope,GI,54.2,0.3,0.3,1.4,1
SC-TB-0278,White,piece,PL24,10.1,3.2,1.9,4.5,7
SC-TB-0287,White,cap,PL01,2,3,3,5.3,7
SC-TB-0416,Green,fragment,PL24,0.6,0.8,0.3,0.1,8
SC-TB-0213,Blue,fragment,PL24,6.6,3.8,0.2,2.9,6
SC-TB-0027,White,scrap,PL24,1.2,0.3,0.3,0.2,1
CR-PC-0080,White,scrap,BII,2.7,1.6,0.1,0.1,1
SC-TB-0307,White,fragment,PL24,5.1,3.2,0.3,0.2,7
SC-TB-0267,White,fragment,PL24,1.4,1.7,0.1,0.1,6
CR-PC-0089,White,scrap,FI,2.1,1.6,0.1,0.1,1
SC-TB-0274,Yellow,bottle,PL01,3,3,1,1.6,7
SC-TB-0340,Green,fragment,PL24,1.2,1.6,0.1,0.2,7
SC-TB-0156,Green,fragment,PL24,3.4,0.7,0.2,0.3,6
SC-TB-0193,Blue,fragment,PL24,1.4,2.1,0.1,0.3,6
SC-TB-0376,White,fragment,PL24,1.2,0.6,0.1,0.1,7
SC-TB-0382,Green,fragment,PL24,4.4,4,0.3,2.4,8
SC-TB-0225,Blue,other,PL04,11.3,2.6,0.5,1.9,6
IS-DV-0039,Black,other,IR,20.5,6.2,6,121.6,1
SC-TB-0312,Green,bottle,PL01,2.8,2.8,1.1,2.1,7
SC-TB-0126,Blue,other,PL04,7.7,0.8,0.2,0.5,6
SC-TB-0078,Green,fragment,PL24,1.4,1.5,0.1,0.3,3
SC-TB-0028,Blue,piece,PL24,1.3,0.4,0.1,0.1,1
NI-SE-0003,Black,other,PL08,9.5,9.5,4.3,27.5,1
SC-TB-0093,Yellow,fragment,PL24,0.3,0.7,0.1,0.1,3
SC-TB-0366,Black,scrap,PL07,80,0.6,0.1,3.7,7
SC-TB-0009,White,scrap,PL24,1,0.7,0.2,0.2,0
SC-TB-0169,Blue,fragment,PL24,3.3,0.4,0.1,0.1,6
CR-PC-0077,Transparent,scrap,DII,6.9,5,1.2,0.7,1
CR-PC-0072,Transparent,other,DII,11.1,3.3,1.7,10.3,1
SC-TB-0246,Blue,fragment,PL24,2.3,1.9,0.1,0.4,6
SC-TB-0033,Blue,fragment,PL24,1.8,1,0.1,0.1,1
CR-PC-0043,Green,rope,GI,24,0.5,0.5,0.2,1
IS-DV-0031,Black,scrap,CA,27,14,0.2,7.1,1
SC-TB-0355,White,fragment,PL24,1.7,0.9,0.2,0.2,7
SC-TB-0165,Green,fragment,PL24,9.2,0.3,0.1,0.4,6
CR-PC-0032,Green,rope,GI,13,0.3,0.3,0.1,1
SC-TB-0162,Blue,fragment,PL24,3.7,1.1,0.1,0.2,6
SC-TB-0148,Blue,fragment,PL24,2.7,1.7,0.1,0.3,6
SC-TB-0292,Other,fragment,PL24,0.9,1.2,0.2,0.2,7
SC-TB-0231,Blue,fragment,PL24,1.8,1.1,0.1,0.2,6
SC-TB-0161,White,fragment,PL24,2.1,1.5,0.3,0.3,6
SC-TB-0239,Blue,fragment,PL24,1.9,1.1,0.2,0.3,6
SC-TB-0255,Red,fragment,PL24,0.7,0.8,0.1,0.1,6
SC-TB-0064,Yellow,scrap,PL06,3.5,0.6,0.1,0.1,2
SC-TB-0016,White,other,PL17,17.2,12.5,2.2,13.8,0
SC-TB-0140,White,fragment,PL24,2.3,1.7,0.1,0.1,6
SC-TB-0001,White,scrap,PL07,13.5,1.9,1,0.3,1
SC-TB-0291,White,fragment,PL24,4.5,3.7,0.1,1.2,7
SC-TB-0074,White,other,PL06,4.8,2.3,0.3,0.1,3
IS-DV-0037,White,piece,CR,32.8,16.6,5.2,200.5,1
SC-TB-0350,White,fragment,PL24,1.9,1.6,0.1,0.3,7
SC-TB-0417,Blue,fragment,PL24,1.1,0.5,0.2,0.1,8
SC-TB-0073,White,scrap,PL07,55.5,1.3,0.1,1,3
SC-TB-0183,White,fragment,PL24,2.1,1.6,0.1,0.1,6
SC-TB-0370,Blue,fragment,PL24,2.2,1.2,0.1,0.2,7
SC-TB-0393,Blue,fragment,PL24,1.3,0.9,0.1,0.1,8
CR-PC-0040,Blue,rope,GII,36,9.6,1,101.6,1
SC-TB-0446,White,stick,PL04,8.8,0.5,0.5,0.8,9
SC-TB-0166,Blue,fragment,PL24,1.5,1,0.1,0.1,6
SC-TB-0240,Blue,fragment,PL24,1.9,1,0.2,0.2,6
SC-TB-0323,White,scrap,PL07,5,1.6,0.1,0.1,7
SC-TB-0130,White,fragment,PL24,4.3,1,0.3,0.7,6
SC-TB-0052,Blue,piece,PL24,1.5,1.1,1.2,0.2,2
IS-DV-0033,Transparent,bottle,IR,22,6.8,6,15.4,1
SC-TB-0288,Blue,fragment,PL24,6.4,2.1,0.8,1.2,7
SC-TB-0119,Red,fragment,PL24,0.9,0.7,0.1,0.1,4
CR-PC-0073,Transparent,fragment,DI,5.1,2.7,0.6,0.8,1
SC-TB-0361,Yellow,fragment,PL24,1.9,1,0.4,0.2,7
CR-PC-0071,Black,other,EIII,7.3,6.7,1.5,26.2,1
SC-TB-0092,White,fragment,PL24,1.7,1.3,0.2,0.2,3
CR-PC-0088,White,scrap,FI,3.2,3.3,0.1,0.1,1
CR-PC-0028,Black,piece,CII,2,1.5,0.6,0.5,1
IS-DV-0036,Transparent,bottle,IR,10.5,10.5,34.5,54.5,1
SC-TB-0202,Blue,fragment,PL24,0.9,1.6,0.1,0.2,6
SC-TB-0007,Yellow,other,PL24,1.4,1.2,0.5,0.7,0
SC-TB-0423,White,fragment,PL24,2.4,2.6,0.2,0.3,8
SC-TB-0334,White,fragment,PL24,7.5,8.1,0.7,7.3,7
SC-TB-0065,Blue,scrap,PL24,0.9,0.6,0.2,0.1,2
SC-TB-0060,White,piece,PL24,2.2,1.1,0.2,0.5,2
SC-TB-0177,Transparent,piece,PL24,3.8,3.8,2.2,0.8,6
SC-TB-0304,White,cap,PL24,6.5,1.4,0.9,1.5,7
SC-TB-0357,Green,fragment,PL24,1.9,1.4,0.5,0.5,7
SC-TB-0128,White,fragment,PL24,2.6,6,0.2,1.4,6
SC-TB-0208,Blue,fragment,PL24,1.4,0.8,0.2,0.2,6
SC-TB-0056,Yellow,scrap,PL06,6.2,2.6,0.3,0.1,2
SC-TB-0425,White,fragment,PL24,4.3,1,0.3,0.3,8
SC-TB-0365,White,fragment,PL24,2.7,0.5,2.2,0.4,7
IS-DV-0002,Transparent,bottle,IR,24.2,6.5,6.5,22.1,1
CR-PC-0069,Blue,piece,AII,1.7,1.1,0.1,0.1,1
SC-TB-0185,Blue,fragment,PL24,2.2,1.7,0.1,0.4,6
SC-TB-0271,Green,cap,PL01,3.6,3.3,0.7,1.3,7
SC-TB-0364,White,fragment,PL24,2.8,1.4,0.4,0.5,7
CR-PC-0033,Green,rope,GII,6.3,0.6,0.4,0.3,1
SC-TB-0048,Blue,piece,PL24,3.3,0.4,0.3,0.1,2
SC-TB-0232,Blue,cap,PL01,1.6,1.3,0.1,0.2,6
SC-TB-0187,White,fragment,PL24,2.2,1.6,0.1,0.2,6
SC-TB-0141,Yellow,piece,PL24,3.3,2.4,0.3,1.4,6
CR-PC-0027,Black,piece,AII,3,1.9,0.1,0.3,1
SC-TB-0122,Blue,fragment,PL24,6.2,5,0.2,3,6
SC-TB-0371,Blue,fragment,PL24,2.9,1.3,0.2,0.4,7
SC-TB-0217,Green,fragment,PL24,1,0.9,0.1,0.1,6
IS-DV-0012,White,other,CA,17.1,13.5,2.2,4.1,1
CR-PC-0059,Blue,scrap,DI,3.5,1.2,0.1,0.1,1
SC-TB-0415,White,fragment,PL24,1.4,1.6,0.2,0.3,8
CR-PC-0020,Black,scrap,BI,2.6,1.2,0.1,0.1,1
SC-TB-0343,White,fragment,PL24,2.7,1.6,0.2,0.4,7
SC-TB-0041,Black,other,PL08,1.5,1.5,0.5,1,2
SC-TB-0253,Red,fragment,PL24,1.3,1.3,0.1,0.1,6
SC-TB-0265,Green,fragment,PL24,3.9,1.2,0.6,0.8,6
SC-TB-0087,White,cap,PL01,2.5,2.5,0.7,1.1,3
SC-TB-0188,White,fragment,PL24,1,2.6,0.2,0.4,6
SC-TB-0085,White,fragment,PL24,2.3,0.8,0.1,0.1,3
SC-TB-0306,Green,fragment,PL24,2.5,0.9,0.2,0.1,7
IS-DV-0029,Yellow,other,IR,22,22,12,347,1
SC-TB-0367,Red,fragment,PL24,2.1,0.9,0.2,0.3,7
SC-TB-0214,Yellow,polystyrene,FP04,2.6,2.2,0.1,0.1,6
SC-TB-0107,Blue,fragment,PL24,1.5,1,0.7,0.2,4
SC-TB-0051,White,scrap,PL07,4,0.9,0.1,0.1,2
SC-TB-0305,White,fragment,PL24,4.1,0.9,0.3,0.3,7
CR-PC-0082,Green,rope,GI,4.2,1.6,1,0.2,1
SC-TB-0089,White,fragment,PL24,2.5,0.2,0.1,0.1,3
IS-DV-0035,Transparent,scrap,IA,12,9.5,5,3.8,1
SC-TB-0221,Yellow,fragment,PL24,2.2,1,0.2,0.1,6
SC-TB-0034,Black,other,PL03,19.5,10,16,102.2,1
SC-TB-0308,White,piece,PL24,3.7,0.6,0.4,0.3,7
